sent_type	struc	prime_type	verb	verb_num	sent_id	sentence	question	response
prime	urc	NA	recorded	2	recorded2	The management who was recorded by the employee talked-about privacy .
prime	urc	NA	recorded	3	recorded3	The dancer who was recorded by his trainer practiced energetically .
prime	urc	NA	recorded	4	recorded4	The influencer who was recorded by her fans started-trending rapidly .
target	rrc	urc	recorded	1	recorded1	The priest recorded
prime	prog_rrc	NA	loved	2	loved2	The comedian being loved by the audience impersonated a famous celebrity .
prime	prog_rrc	NA	loved	3	loved3	The kid being loved by her parents slept peacefully .
prime	prog_rrc	NA	loved	4	loved4	The janitor being loved by the employees was cheerful .
target	rrc	prog_rrc	loved	1	loved1	The landlord loved
prime	prog_rrc	NA	described	2	described2	The secretary being described by the visitor waited patiently .
prime	prog_rrc	NA	described	3	described3	The chemist being described by the writer was interested .
prime	prog_rrc	NA	described	4	described4	The physicist being described by the journalist published many seminal articles .
target	rrc	prog_rrc	described	1	described1	The boy described
prime	rrc	NA	examined	2	examined2	The engineer examined by a licensor passed the test .
prime	rrc	NA	examined	3	examined3	The industrialist examined by the auditor hid the money .
prime	rrc	NA	examined	4	examined4	The patient examined by the hygenist looked uncomfortable .
target	rrc	rrc	examined	1	examined1	The defendant examined
prime	prog_rrc	NA	envied	2	envied2	The principal being envied by the administration complained incessantly .
prime	prog_rrc	NA	envied	3	envied3	The man being envied by his sister bought a new car .
prime	prog_rrc	NA	envied	4	envied4	The plumber being envied by the carpenter was well-known .
target	rrc	prog_rrc	envied	1	envied1	The officer envied
prime	prog_rrc	NA	captured	2	captured2	The witch being captured by the peasant cackled gleefully .
prime	prog_rrc	NA	captured	3	captured3	The suspect being captured by the investigator looked terrified .
prime	prog_rrc	NA	captured	4	captured4	The prisoners being captured by the colonel escaped at-night .
target	rrc	prog_rrc	captured	1	captured1	The policeman captured
prime	prog_rrc	NA	scratched	2	scratched2	The toddler being scratched by the table exclaimed in-surprise .
prime	prog_rrc	NA	scratched	3	scratched3	The dog being scratched by a stranger barked loudly .
prime	prog_rrc	NA	scratched	4	scratched4	The diamond being scratched by the machine remained flawless .
target	rrc	prog_rrc	scratched	1	scratched1	The girl scratched
prime	urc	NA	consoled	2	consoled2	The teenager who was consoled by the friend went to her home sullenly .
prime	urc	NA	consoled	3	consoled3	The woman who was consoled by her daughter smiled wistfully .
prime	urc	NA	consoled	4	consoled4	The athlete who was consoled by his coach promised more effort .
target	rrc	urc	consoled	1	consoled1	The widow consoled
prime	rrc	NA	attacked	2	attacked2	The lion attacked by the hunter staggered into the forest .
prime	rrc	NA	attacked	3	attacked3	The senator attacked by the assassin went to the hospital .
prime	rrc	NA	attacked	4	attacked4	The analyst attacked by his client apologized .
target	rrc	rrc	attacked	1	attacked1	The troops attacked
prime	amv	NA	paid	2	paid2	The organization paid the government and expanded its mission .
prime	amv	NA	paid	3	paid3	The broker paid the company and signed the contract .
prime	amv	NA	paid	4	paid4	The entrepreneur paid the industrialist and founded a successful company .
target	rrc	amv	paid	1	paid1	The cashier paid
prime	urc	NA	accompanied	2	accompanied2	The children who was accompanied by their guardian skipped to the park .
prime	urc	NA	accompanied	3	accompanied3	The toddler who was accompanied by her parents went to the store .
prime	urc	NA	accompanied	4	accompanied4	The builder who was accompanied by the architect visited the construction-site .
target	rrc	urc	accompanied	1	accompanied1	The prince accompanied
prime	rrc	NA	recognized	2	recognized2	The actor recognized by the reporter waved enthusiastically .
prime	rrc	NA	recognized	3	recognized3	The poet recognized by the writer smiled .
prime	rrc	NA	recognized	4	recognized4	The driver recognized by the passenger grinned cheerfully .
target	rrc	rrc	recognized	1	recognized1	The man recognized
prime	amv	NA	chased	2	chased2	The monkey chased a hatter and stole his hats .
prime	amv	NA	chased	3	chased3	The thief chased the officer and stopped suddenly .
prime	amv	NA	chased	4	chased4	The dentist chased her son and threatened his teeth-extraction playfully .
target	rrc	amv	chased	1	chased1	The dog chased
prime	urc	NA	studied	2	studied2	The writer who was studied by the scholar wrote a radical book .
prime	urc	NA	studied	3	studied3	The apprentice who was studied by the blacksmith forged a shield .
prime	urc	NA	studied	4	studied4	The scholars who was studied by the psychologist were attentive .
target	rrc	urc	studied	1	studied1	The soldier studied
prime	urc	NA	betrayed	2	betrayed2	The king who was betrayed by the genie arrested the innocent woman .
prime	urc	NA	betrayed	3	betrayed3	The businessman who was betrayed by his partner lost a-lot-of money .
prime	urc	NA	betrayed	4	betrayed4	The executive who was betrayed by her accountant committed the famous tax-fraud .
target	rrc	urc	betrayed	1	betrayed1	The politician betrayed
prime	rrc	NA	challenged	2	challenged2	The scientist challenged by the journalist demonstrated the invention .
prime	rrc	NA	challenged	3	challenged3	The dragon challenged by the wizard roared loudly .
prime	rrc	NA	challenged	4	challenged4	The programmer challenged by the supervisor accepted her mistake .
target	rrc	rrc	challenged	1	challenged1	The protestors challenged
prime	amv	NA	selected	2	selected2	The professor selected the university and made plans-to-move .
prime	amv	NA	selected	3	selected3	The chef selected the restaurant and advertised his signature dish .
prime	amv	NA	selected	4	selected4	The developer selected the team and solved the problem efficiently .
target	rrc	amv	selected	1	selected1	The applicant selected
prime	rrc	NA	congratulated	2	congratulated2	The actress congratulated by the director talked to the media happily .
prime	rrc	NA	congratulated	3	congratulated3	The governor congratulated by the president made a public-statement .
prime	rrc	NA	congratulated	4	congratulated4	The valedictorian congratulated by her family beamed joyfully .
target	rrc	rrc	congratulated	1	congratulated1	The captain congratulated
prime	amv	NA	encouraged	2	encouraged2	The musician encouraged the crowd and performed a breathtaking piece .
prime	amv	NA	encouraged	3	encouraged3	The teacher encouraged her students and brought some donuts .
prime	amv	NA	encouraged	4	encouraged4	The hairdresser encouraged her customer and tried a new hairstyle .
target	rrc	amv	encouraged	1	encouraged1	The gymnast encouraged
prime	urc	NA	identified	2	identified2	The warden who was identified by the prisoner cracked the walnuts enthusiastically .
prime	urc	NA	identified	3	identified3	The student who was identified by the researcher proposed an interesting project .
prime	urc	NA	identified	4	identified4	The electrician who was identified by the company was competent .
target	rrc	urc	identified	1	identified1	The thief identified
prime	prog_rrc	NA	admired	2	admired2	The princess being admired by the magician went into a trance .
prime	prog_rrc	NA	admired	3	admired3	The employee being admired by the manager received a good evaluation .
prime	prog_rrc	NA	admired	4	admired4	The nurse being admired by the doctor worked diligently .
target	rrc	prog_rrc	admired	1	admired1	The singer admired
prime	amv	NA	approached	2	approached2	The clerk approached his manager and submitted the report .
prime	amv	NA	approached	3	approached3	The spy approached the agent and searched-for some answers .
prime	amv	NA	approached	4	approached4	The pharmacist approached the patient and recommended the blue pills .
target	rrc	amv	approached	1	approached1	The student approached
prime	amv	NA	introduced	2	introduced2	The producer introduced the association and won many awards .
prime	amv	NA	introduced	3	introduced3	The elf introduced the magician and danced happily .
prime	amv	NA	introduced	4	introduced4	The therapist introduced the doctor and listened carefully .
target	rrc	amv	introduced	1	introduced1	The speaker introduced
prime	rrc	NA	sketched	2	sketched2	The apprentice sketched by the artist rolled-up the canvas .
prime	rrc	NA	sketched	3	sketched3	The painter sketched by her student looked happy .
prime	rrc	NA	sketched	4	sketched4	The robot sketched by the illustrator gained popularity rapidly .
target	rrc	rrc	sketched	1	sketched1	The culprit sketched
