accompanied	1	accompanied1	The prince accompanied by the duke arrived at the palace . 
accompanied	2	accompanied2	The children accompanied by their guardian skipped to the park . 
accompanied	3	accompanied3	The toddler accompanied by her parents went to the store .
accompanied	4	accompanied4	The builder accompanied by the architect visited the construction-site . 
admired	1	admired1	The singer admired by her fans sang beautifully . 
admired	2	admired2	The princess admired by the magician went into a trance .
admired	3	admired3	The employee admired by the manager received a good evaluation .
admired	4	admired4	The nurse admired by the doctor worked diligently .
approached	1	approached1	The student approached by the teacher passed the exam .
approached	2	approached2	The clerk approached by his manager submitted the report .
approached	3	approached3	The spy approached by the agent searched-for some answers .
approached	4	approached4	The pharmacist approached by the patient recommended the blue pills .
attacked	1	attacked1	The troops attacked by the terrorists suffered some heavy losses .
attacked	2	attacked2	The lion attacked by the hunter staggered into the forest .
attacked	3	attacked3	The senator attacked by the assassin went to the hospital .
attacked	4	attacked4	The analyst attacked by his client apologized . 
betrayed	1	betrayed1	The politician betrayed by the party denied the allegations . 
betrayed	2	betrayed2	The king betrayed by the genie arrested the innocent woman . 
betrayed	3	betrayed3	The businessman betrayed by his partner lost a-lot-of money .
betrayed	4	betrayed4	The executive betrayed by her accountant committed the famous tax-fraud . 
captured	1	captured1	The policeman captured by the kidnapper divulged a-lot-of information . 
captured	2	captured2	The witch captured by the peasant cackled gleefully . 
captured	3	captured3	The suspect captured by the investigator looked terrified .
captured	4	captured4	The prisoners captured by the colonel escaped at-night . 
chased	1	chased1	The dog chased by the boy played-with the ball .
chased	2	chased2	The monkey chased by a hatter stole his hats . 
chased	3	chased3	The thief chased by the officer stopped suddenly . 
chased	4	chased4	The dentist chased by her son threatened his teeth-extraction playfully . 
congratulated	1	congratulated1	The captain congratulated by the team jumped excitedly .
congratulated	2	congratulated2	The actress congratulated by the director talked to the media happily .
congratulated	3	congratulated3	The governor congratulated by the president made a public-statement . 
congratulated	4	congratulated4	The valedictorian congratulated by her family beamed joyfully . 
consoled	1	consoled1	The widow consoled by her family felt better eventually .
consoled	2	consoled2	The teenager consoled by the friend went to her home sullenly .
consoled	3	consoled3	The woman consoled by her daughter smiled wistfully .
consoled	4	consoled4	The athlete consoled by his coach promised more effort . 
described	1	described1	The boy described by the lady glowed joyfully .
described	2	described2	The secretary described by the visitor waited patiently .
described	3	described3	The chemist described by the writer was interested .
described	4	described4	The physicist described by the journalist published many seminal articles .
encouraged	1	encouraged1	The gymnast encouraged by the coach participated in the contest .
encouraged	2	encouraged2	The musician encouraged by the crowd performed a breathtaking piece .
encouraged	3	encouraged3	The teacher encouraged by her students brought some donuts .
encouraged	4	encouraged4	The hairdresser encouraged by her customer tried a new hairstyle . 
examined	1	examined1	The defendant examined by the lawyer was unreliable .
examined	2	examined2	The engineer examined by a licensor passed the test .
examined	3	examined3	The industrialist examined by the auditor hid the money .
examined	4	examined4	The patient examined by the hygenist looked uncomfortable . 
identified	1	identified1	The thief identified by the victim ran-away in-fear . 
identified	2	identified2	The warden identified by the prisoner cracked the walnuts enthusiastically . 
identified	3	identified3	The student identified by the researcher proposed an interesting project .
identified	4	identified4	The electrician identified by the company was competent . 
loved	1	loved1	The landlord loved by his tenants was considerate . 
loved	2	loved2	The comedian loved by the audience impersonated a famous celebrity . 
