sent_type	struc	prime_type	verb	verb_num	sent_id	sentence	question	response
prime	rrc	NA	sketched	1	sketched1	The culprit sketched by the investigator escaped .
prime	rrc	NA	sketched	2	sketched2	The apprentice sketched by the artist rolled-up the canvas .
prime	rrc	NA	sketched	3	sketched3	The painter sketched by her student looked happy .
target	rrc	rrc	sketched	4	sketched4	The robot sketched
prime	amv	NA	introduced	1	introduced1	The speaker introduced the chairman and charmed everyone .
prime	amv	NA	introduced	2	introduced2	The producer introduced the association and won many awards .
prime	amv	NA	introduced	3	introduced3	The elf introduced the magician and danced happily .
target	rrc	amv	introduced	4	introduced4	The therapist introduced
prime	amv	NA	approached	1	approached1	The student approached the teacher and passed the exam .
prime	amv	NA	approached	2	approached2	The clerk approached his manager and submitted the report .
prime	amv	NA	approached	3	approached3	The spy approached the agent and searched-for some answers .
target	rrc	amv	approached	4	approached4	The pharmacist approached
prime	prog_rrc	NA	admired	1	admired1	The singer being admired by her fans sang beautifully .
prime	prog_rrc	NA	admired	2	admired2	The princess being admired by the magician went into a trance .
prime	prog_rrc	NA	admired	3	admired3	The employee being admired by the manager received a good evaluation .
target	rrc	prog_rrc	admired	4	admired4	The nurse admired
prime	urc	NA	identified	1	identified1	The thief who was identified by the victim ran-away in-fear .
prime	urc	NA	identified	2	identified2	The warden who was identified by the prisoner cracked the walnuts enthusiastically .
prime	urc	NA	identified	3	identified3	The student who was identified by the researcher proposed an interesting project .
target	rrc	urc	identified	4	identified4	The electrician identified
prime	amv	NA	encouraged	1	encouraged1	The gymnast encouraged the coach and participated in the contest .
prime	amv	NA	encouraged	2	encouraged2	The musician encouraged the crowd and performed a breathtaking piece .
prime	amv	NA	encouraged	3	encouraged3	The teacher encouraged her students and brought some donuts .
target	rrc	amv	encouraged	4	encouraged4	The hairdresser encouraged
prime	rrc	NA	congratulated	1	congratulated1	The captain congratulated by the team jumped excitedly .
prime	rrc	NA	congratulated	2	congratulated2	The actress congratulated by the director talked to the media happily .
prime	rrc	NA	congratulated	3	congratulated3	The governor congratulated by the president made a public-statement .
target	rrc	rrc	congratulated	4	congratulated4	The valedictorian congratulated
prime	amv	NA	selected	1	selected1	The applicant selected the company and gained more information .
prime	amv	NA	selected	2	selected2	The professor selected the university and made plans-to-move .
prime	amv	NA	selected	3	selected3	The chef selected the restaurant and advertised his signature dish .
target	rrc	amv	selected	4	selected4	The developer selected
prime	rrc	NA	challenged	1	challenged1	The protestors challenged by the authority marched on the streets .
prime	rrc	NA	challenged	2	challenged2	The scientist challenged by the journalist demonstrated the invention .
prime	rrc	NA	challenged	3	challenged3	The dragon challenged by the wizard roared loudly .
target	rrc	rrc	challenged	4	challenged4	The programmer challenged
prime	urc	NA	betrayed	1	betrayed1	The politician who was betrayed by the party denied the allegations .
prime	urc	NA	betrayed	2	betrayed2	The king who was betrayed by the genie arrested the innocent woman .
prime	urc	NA	betrayed	3	betrayed3	The businessman who was betrayed by his partner lost a-lot-of money .
target	rrc	urc	betrayed	4	betrayed4	The executive betrayed
prime	urc	NA	studied	1	studied1	The soldier who was studied by the general fought valiantly .
prime	urc	NA	studied	2	studied2	The writer who was studied by the scholar wrote a radical book .
prime	urc	NA	studied	3	studied3	The apprentice who was studied by the blacksmith forged a shield .
target	rrc	urc	studied	4	studied4	The scholars studied
prime	amv	NA	chased	1	chased1	The dog chased the boy and played-with the ball .
